Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan
1990,33.1,30.2,39.2,49.3,56.6,68.1,72,69.9,63.6,52.1,43.2,31.5,50.7
1991,24.1,31.3,40.2,51.2,65.6,71.8,73.7,72.3,61.7,54.7,37.5,31,51.3
1992,27.1,30.5,35.2,46.5,58.8,64.8,68.5,66.5,61.8,49.7,38.4,31.7,48.3
1993,27.7,23.9,33.4,46.8,59.8,66.2,73.5,72.4,58.7,49.7,38.7,28.5,48.3
1994,16.5,22.8,36,50.5,57.5,70,72.3,68.3,64.8,53.1,44.2,33.9,49.2
1995,26.9,24.1,38,44.8,59.3,70.6,73.8,76.3,61.7,54.2,32.9,24.7,48.9
1996,23.7,25.7,30.2,44.8,56.7,70.1,69.9,72.5,63.3,51.8,33.5,30.2,47.7
1997,22.2,30.4,37.4,46.1,51.7,68.7,71.6,67.4,62.6,51.5,36.6,31.1,48.1
1998,31.8,35.6,38.2,50.3,65.5,68.8,73.2,72.9,68.2,54.3,43.6,35.5,53.2
1999,22.7,31.9,34.1,51,62.6,70.2,76.1,69.3,66,51.5,45.2,31.2,51
2000,24.1,32.4,43.3,48.3,61.7,68.6,69.1,70.2,62.9,M,39.5,18.7,49
2001,26.1,29,34,51,61.1,68.5,72.9,73.3,61.7,52.3,47.5,35,51
2002,32.4,32.6,34.5,49.4,55.1,71,76.1,72.5,68.5,50.1,38.5,28.6,50.8
2003,20.2,23,36,48.4,56.9,66.5,71.8,72.2,62.6,50.9,43.8,32,48.7
2004,19,28,40.3,51,61.7,67,71.2,68,67.4,53.3,42.2,28.6,49.8
2005,23.7,28.7,33.2,51.3,56.4,73.5,74.4,74.4,68.1,54,42.7,25.5,50.5
2006,34.9,29.4,37.6,52.3,59.9,68.1,74.6,72.4,61.6,49.4,42.1,36.4,51.6
2007,29.1,19.6,41.2,47.2,62.8,70.8,71.1,73.1,66.3,59,38.9,28.2,50.6
2008,28,24.3,33.6,51.8,57,69.9,72.6,71.2,65.5,50.3,38.5,26.1,49.1
2009,17.9,28.5,38.2,49.6,59.3,67.3,67.8,70,64.7,49.3,44.7,28.5,48.8
2010,24.6,27.4,42,54.3,61.9,70.5,75.3,74.3,64.2,54.8,41.4,25.2,51.3
2011,21.5,25.8,34.5,47.6,60.6,70.2,78.6,71.7,63.3,53.2,44.8,34.1,50.5
2012,30.2,32.8,50.7,49.2,65.2,71.4,78.9,72.1,63.9,51.7,39.6,34.8,53.4
2013,28.7,26.1,33.3,46,63.1,68.6,72.9,70.2,64.7,53.2,37.6,26.7,49.3
2014,17,19.4,29,48.9,60.7,69.7,68.8,70.8,63.2,52.1,35.4,33.3,47.4
2015,21.4,14.4,34.9,49,64.2,68,71.2,70.2,68.7,53.9,45.7,39.9,50.1
